,BHK,Address,Latitude,Longitude,Size(Acres),Deposit(Rs),Rent(Rs),Furnishing,Property Age,Available For, Immediate Possesion,Link
0,2, Kadubeesanahalli,12.934,77.702,1210,150000,21000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kadubeesanahalli-bangalore-for-rs-21000/ff8081815f02b32b015f0401b7f9058c/detail
3,3, Bellandur,12.924,77.685,1879,250000,43000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-bellandur-bangalore-for-rs-43000/ff808181675a2dfb01675acc4aaa5112/detail
4,3, Rr Nagar,12.919,77.501,1620,100000,20000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-rr-nagar-bangalore-for-rs-20000/ff808181502f388e0150312c8576047e/detail
5,2, Bellandur,12.927,77.675,1060,150000,25000,Full Furnished,5-10 years ,Family,16-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-bellandur-bangalore-for-rs-25000/ff8081815635f04f01563aaad40046e3/detail
6,2, Uttarahalli Hobli,12.911,77.553,1300,100000,24000,Semi Furnished,>10 years ,All,16-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-uttarahalli-hobli-bangalore-for-rs-24000/8a9f8bf66fa74e3c016fb171724e7a5c/detail
7,2, Whitefield,12.955,77.721,1275,120000,19000,Semi Furnished,5-10 years ,Family,16-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-19000/ff808181631566e001631ac8e788278c/detail
8,2, Bhoganhalli,12.922,77.696,1150,125000,22000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-bhoganhalli-bangalore-for-rs-22000/ff80818163c0516f0163c445d12e429b/detail
9,3, Hebbal Kempapura,13.051,77.599,1324,150000,27500,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-hebbal-kempapura-bangalore-for-rs-27500/ff8081816f0d5fe7016f0f793d29457c/detail
11,2, Kadubeesanahalli,12.934,77.702,1210,150000,21000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-kadubeesanahalli-bangalore-for-rs-21000/ff8081815f02b32b015f0401b7f9058c/detail
14,3, Bellandur,12.924,77.685,1879,250000,43000,Semi Furnished,5-10 years ,All,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-bellandur-bangalore-for-rs-43000/ff808181675a2dfb01675acc4aaa5112/detail
15,3, Rr Nagar,12.919,77.501,1620,100000,20000,Semi Furnished,3-5 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-rr-nagar-bangalore-for-rs-20000/ff808181502f388e0150312c8576047e/detail
16,2, Bellandur,12.927,77.675,1060,150000,25000,Full Furnished,5-10 years ,Family,16-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-bellandur-bangalore-for-rs-25000/ff8081815635f04f01563aaad40046e3/detail
17,2, Uttarahalli Hobli,12.911,77.553,1300,100000,24000,Semi Furnished,>10 years ,All,16-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-uttarahalli-hobli-bangalore-for-rs-24000/8a9f8bf66fa74e3c016fb171724e7a5c/detail
18,2, Whitefield,12.955,77.721,1275,120000,19000,Semi Furnished,5-10 years ,Family,16-Jan-2021,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-19000/ff808181631566e001631ac8e788278c/detail
19,2, Bhoganhalli,12.922,77.696,1150,125000,22000,Semi Furnished,5-10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-bhoganhalli-bangalore-for-rs-22000/ff80818163c0516f0163c445d12e429b/detail
20,3, Hebbal Kempapura,13.051,77.599,1324,150000,27500,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-hebbal-kempapura-bangalore-for-rs-27500/ff8081816f0d5fe7016f0f793d29457c/detail
22,2, Horamavu,13.02,77.662,1100,100000,20000,Semi Furnished,>10 years ,Family,Ready to Move,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-horamavu-bangalore-for-rs-20000/ff8081815cc60113015cc973b6e97f9c/detail
24,3, Bhoganhalli,12.929,77.704,1300,150000,25000,Semi Furnished,1-3 years ,Family,15-Jan-2021,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-bhoganhalli-bangalore-for-rs-25000/8a9fa38276ad528d0176ad66f87f0748/detail
